GENERIC_NAME,standardized_smiles
Butobarbital,CCCCC1(CC)C(=O)NC(=O)NC1=O
Heptabarbital,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O
Hexobarbital,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
Mestranol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C
Penbutolol,CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1
Iohexol,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
Ephedrine,CN[C@@H](C)[C@H](O)c1ccccc1
Mephentermine,CNC(C)(C)Cc1ccccc1
Procaterol,CC[C@@H](NC(C)C)[C@@H](O)c1ccc(O)c2[nH]c(=O)ccc12
Rasagiline,C#CCN[C@@H]1CCc2ccccc21
Quinupristin,CC[C@H]1NC(=O)[C@@H](NC(=O)c2ncccc2O)[C@@H](C)OC(=O)[C@H](c2ccccc2)NC(=O)[C@@H]2CC(=O)[C@H](CS[C@@H]3CN4CCC3CC4)CN2C(=O)[C@H](Cc2ccc(N(C)C)cc2)N(C)C(=O)[C@@H]2CCCN2C1=O
Aluminium,[Al]
Calcium,[Ca]
Aluminium monostearate,CCCCCCCCCCCCCCCCCC(=O)O[Al](O)O
Cortisone acetate,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C
Glymidine,COCCOc1cnc(NS(=O)(=O)c2ccccc2)nc1
Paramethasone,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
Mibefradil,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C
Yohimbine,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O
Bezafibrate,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O
Colchicine,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
Drospirenone,C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1[C@H]1[C@@H]3[C@@H]4C[C@@H]4[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@@H]12
Digitoxin,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
Salsalate,O=C(Oc1ccccc1C(=O)O)c1ccccc1O
Neostigmine,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
Methotrimeprazine,COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2
Temafloxacin,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1
Danazol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C
Clenbuterol,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1
Bambuterol,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1
Tiotropium,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12
Ciclesonide,CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C
Pranlukast,O=C(Nc1cccc2c(=O)cc(-c3nn[nH]n3)oc12)c1ccc(OCCCCc2ccccc2)cc1
Theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C
Cefepime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1
Cefacetrile,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CC#N)[C@H]2SC1
Ceftibuten,Nc1nc(/C(=C/CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1
Cefpodoxime,COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1
Acenocoumarol,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O
Antrafenine,O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12
Testosterone propionate,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
Paromomycin,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O
Nitroxoline,O=[N+]([O-])c1ccc(O)c2ncccc12
Stepronin,CC(SC(=O)c1cccs1)C(=O)NCC(=O)O
Aminophenazone,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
Alizapride,C=CCN1CCCC1CNC(=O)c1cc2n[nH]nc2cc1OC
Ajmaline,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O
Amrinone,Nc1cc(-c2ccncc2)c[nH]c1=O
Oxybenzone,COc1ccc(C(=O)c2ccccc2)c(O)c1
Aprindine,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1
Allylestrenol,C=CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C
Methadyl acetate,CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
19-norandrostenedione,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CCC2=O
Alfacalcidol,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
Glutethimide,CCC1(c2ccccc2)CCC(=O)NC1=O
Phenazopyridine,Nc1ccc(/N=N/c2ccccc2)c(N)n1
3-Methylthiofentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2cccs2)CC1C
"5-Methoxy-N,N-diisopropyltryptamine",COc1ccc2[nH]cc(CCN(C(C)C)C(C)C)c2c1
MMDA,COc1cc(CC(C)N)cc2c1OCO2
19-Nor-5-androstenedione,C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@@H]43)[C@@H]1CCC2=O
Dimethylthiambutene,CC(C=C(c1cccs1)c1cccs1)N(C)C
Bufotenine,CN(C)CCc1c[nH]c2ccc(O)cc12
Indopan,CC(N)Cc1c[nH]c2ccccc12
4-Methylaminorex,CC1N=C(N)OC1c1ccccc1
Dihydroetorphine,CCC[C@@](C)(O)[C@H]1C[C@@]23CC[C@]1(OC)[C@@H]1Oc4c(O)ccc5c4[C@@]12CCN(C)[C@@H]3C5
1-Androstenedione,C[C@]12C=CC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
Diamorphine,CC(=O)Oc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341
Beta-hydroxyfentanyl,CCC(=O)N(c1ccccc1)C1CCN(CC(O)c2ccccc2)CC1
Midomafetamine,CNC(C)Cc1ccc2c(c1)OCO2
19-Nor-5-androstenediol,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@H]43)[C@@H]1CC[C@@H]2O
5-androstenedione,C[C@]12CCC(=O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
"2,5-Dimethoxy-4-(n)-propylthiophenethylamine",CCCSc1cc(OC)c(CCN)cc1OC
Bezitramide,CCC(=O)n1c(=O)n(C2CCN(CCC(C#N)(c3ccccc3)c3ccccc3)CC2)c2ccccc21
Diethyltryptamine,CCN(CC)CCc1c[nH]c2ccccc12
Dimenoxadol,CCOC(C(=O)OCCN(C)C)(c1ccccc1)c1ccccc1
Etonitazene,CCOc1ccc(Cc2nc3cc([N+](=O)[O-])ccc3n2CCN(CC)CC)cc1
Fencamfamin,CCNC1C2CCC(C2)C1c1ccccc1
Furethidine,CCOC(=O)C1(c2ccccc2)CCN(CCOCC2CCCO2)CC1
"2,5-Dimethoxyamphetamine",COc1ccc(OC)c(CC(C)N)c1
Ethylmorphine,CCOc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341
"2,5-Dimethoxy-4-ethylamphetamine",CCc1cc(OC)c(CC(C)N)cc1OC
Ethylmethylthiambutene,CCN(C)C(C)C=C(c1cccs1)c1cccs1
Acetorphine,CCC[C@@](C)(O)[C@H]1C[C@@]23C=C[C@]1(OC)[C@@H]1Oc4c(OC(C)=O)ccc5c4[C@@]12CCN(C)[C@@H]3C5
alpha-methylthiofentanyl,CCC(=O)N(c1ccccc1)C1CCN(C(C)Cc2cccs2)CC1
Bolasterone,C[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@]3(C)O)[C@H]12
4-Methoxyamphetamine,COc1ccc(CC(C)N)cc1
Betaprodine,CCC(=O)O[C@]1(c2ccccc2)CCN(C)C[C@H]1C
"17alpha-methyl-3beta,17beta-dihydroxyandrost-4-ene",C[C@]12CC[C@H](O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
Dioxaphetyl butyrate,CCOC(=O)C(CCN1CCOCC1)(c1ccccc1)c1ccccc1
Haloxazolam,O=C1CN2CCOC2(c2ccccc2F)c2cc(Br)ccc2N1
Codeine methylbromide,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)[N+](C)(C)CC[C@@]341
Desmethylprodine,CCC(=O)OC1(c2ccccc2)CCN(C)CC1
BA-2664,C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
Cyprenorphine,CO[C@]12C=C[C@@]3(C[C@@H]1C(C)(C)O)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5
1-Testosterone,C[C@]12C=CC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12
Fenethylline,CC(Cc1ccccc1)NCCn1cnc2c1c(=O)n(C)c(=O)n2C
Barbital,CCC1(CC)C(=O)NC(=O)NC1=O
"4-Bromo-2,5-dimethoxyamphetamine",COc1cc(CC(C)N)c(OC)cc1Br
4-Hydroxytestosterone,C[C@]12CC[C@H]3[C@@H](CCC4=C(O)C(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
Cathine,C[C@H](N)[C@@H](O)c1ccccc1
Embutramide,CCC(CC)(CNC(=O)CCCO)c1cccc(OC)c1
Dimethyltryptamine,CN(C)CCc1c[nH]c2ccccc12
Camazepam,CN(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O
Aminorex,NC1=NCC(c2ccccc2)O1
Ethylestrenol,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C
"Dihydro-2-thioxo-5-((5-(2-(trifluoromethyl)phenyl)-2-furanyl)methyl)-4,6(1H,5H)-pyrimidinedione",O=C1NC(=S)NC(=O)C1Cc1ccc(-c2ccccc2C(F)(F)F)o1
Etorphine,CCCC(C)(O)C1C[C@@]23C=CC1(OC)C1Oc4c(O)ccc5c4[C@@]12CCN(C)[C@@H]3C5
Alphamethadol,CC[C@@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1
Alphameprodine,CCC(=O)O[C@]1(c2ccccc2)CCN(C)C[C@@H]1CC
Oxabolone,C[C@]12CC[C@H]3[C@@H](CCC4=C(O)C(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2O
Difenoxin,N#CC(CCN1CCC(C(=O)O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1
Diampromide,CCC(=O)N(CC(C)N(C)CCc1ccccc1)c1ccccc1
1-Androstenediol,C[C@]12C=C[C@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12
Etoxeridine,CCOC(=O)C1(c2ccccc2)CCN(CCOCCO)CC1
1-Phenylcyclohexylamine,NC1(c2ccccc2)CCCCC1
Tenamfetamine,CC(N)Cc1ccc2c(c1)OCO2
Delorazepam,O=C1CN=C(c2ccccc2Cl)c2cc(Cl)ccc2N1
Hydromorphinol,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)CC[C@@]3(O)[C@H]1C5
"17Alpha-methyl-3beta,17beta-dihydroxy-5alpha-androstane",C[C@]12CC[C@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
Furazabol,C[C@]12Cc3nonc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
Benzoylecgonine,CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](OC(=O)c1ccccc1)C2
"3,4,5-Trimethoxyamphetamine",COc1cc(CC(C)N)cc(OC)c1OC
Benzethidine,CCOC(=O)C1(c2ccccc2)CCN(CCOCc2ccccc2)CC1
Tenocyclidine,c1csc(C2(N3CCCCC3)CCCCC2)c1
Clostebol,C[C@]12CC[C@H]3[C@@H](CCC4=C(Cl)C(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
Betacetylmethadol,CC[C@H](OC(C)=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1
Clonitazene,CCN(CC)CCn1c(Cc2ccc(Cl)cc2)nc2cc([N+](=O)[O-])ccc21
Androstenediol,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
Ecgonine,CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](O)C2
4-Androstenediol,C[C@]12CC[C@H]3[C@@H](CCC4=C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
Clortermine,CC(C)(N)Cc1ccccc1Cl
"4-Methyl-2,5-dimethoxyamphetamine",COc1cc(CC(C)N)c(OC)cc1C
Dextromoramide,C[C@H](CN1CCOCC1)C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1
"5alpha-androstane-3alpha,17beta-diol",C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12
Desomorphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2CCC[C@H]3[C@H]1C5
α-Methylacetylfentanyl,CC(=O)N(c1ccccc1)C1CCN(C(C)Cc2ccccc2)CC1
Diethylthiambutene,CCN(CC)C(C)C=C(c1cccs1)c1cccs1
Chlorhexadol,CC(CC(C)(C)O)OC(O)C(Cl)(Cl)Cl
Carfentanil,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCc2ccccc2)CC1
Androstenedione,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
"4-Bromo-2,5-dimethoxyphenethylamine",COc1cc(CCN)c(OC)cc1Br
Acetyldihydrocodeine,COc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341
1-Piperidinocyclohexanecarbonitrile,N#CC1(N2CCCCC2)CCCCC1
17alpha-methyl-4-hydroxynandrolone,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(O)C(=O)CC[C@@H]4[C@H]3CC[C@@]21C
Boldenone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@@H]2O
Allylprodine,C=CCC1CN(C)CCC1(OC(=O)CC)c1ccccc1
18-methyl-19-nortestosterone,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2O
Flunitrazepam,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
Ethyl loflazepate,CCOC(=O)C1N=C(c2ccccc2F)c2cc(Cl)ccc2NC1=O
Etryptamine,CCC(N)Cc1c[nH]c2ccccc12
Drotebanol,COc1ccc2c(c1OC)[C@]13CCN(C)[C@H](C2)[C@]1(O)CC[C@@H](O)C3
Diprenorphine,CO[C@]12CC[C@@]3(C[C@@H]1C(C)(C)O)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5
Rolicyclidine,c1ccc(C2(N3CCCC3)CCCCC2)cc1
Fenproporex,CC(Cc1ccccc1)NCCC#N
Dihydrocodeine,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341
Betameprodine,CCC(=O)O[C@]1(c2ccccc2)CCN(C)C[C@H]1CC
Cloxazolam,O=C1CN2CCOC2(c2ccccc2Cl)c2cc(Cl)ccc2N1
Bolandiol,C[C@]12CC[C@H]3[C@@H](CCC4=C[C@@H](O)CC[C@@H]43)[C@@H]1CC[C@@H]2O
Alphacetylmethadol,CC[C@@H](OC(C)=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1
Chlorphentermine,CC(C)(N)Cc1ccc(Cl)cc1
α-Methylfentanyl,CCC(=O)N(c1ccccc1)C1CCN(C(C)Cc2ccccc2)CC1
Bromazepam,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1
Clotiazepam,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl
Cathinone,C[C@H](N)C(=O)c1ccccc1
Androstanedione,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
1-(2-Phenylethyl)-4-phenyl-4-acetoxypiperidine,CC(=O)OC1(c2ccccc2)CCN(CCc2ccccc2)CC1
Calusterone,C[C@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@]3(C)O)[C@H]12
Dihydromorphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)CC[C@H]3[C@H]1C5
Methylenedioxyethamphetamine,CCNC(C)Cc1ccc2c(c1)OCO2
Fludiazepam,CN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
Codeine-N-oxide,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)[N@@+](C)([O-])CC[C@@]341
Formebolone,C[C@]12C=C(C=O)C(=O)C=C1CC[C@@H]1[C@@H]2[C@H](O)C[C@@]2(C)[C@H]1CC[C@]2(C)O
Ohmefentanyl,CCC(=O)N(c1ccccc1)C1CCN(CC(O)c2ccccc2)CC1C
3-Methylfentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1C
Methyl-1-testosterone,C[C@]12C=CC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
Benzylmorphine,CN1CC[C@]23c4c5ccc(OCc6ccccc6)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
Kaolin,O[Si](O)(O)O[Si](O)(O)O
Dextroamphetamine,C[C@H](N)Cc1ccccc1
Metamfetamine,CN[C@@H](C)Cc1ccccc1
Metrizamide,CC(=O)Nc1c(I)c(C(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO)c(I)c(N(C)C(C)=O)c1I
Phendimetrazine,C[C@H]1[C@H](c2ccccc2)OCCN1C
Oxprenolol,C=CCOc1ccccc1OCC(O)CNC(C)C
Sulfamerazine,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
Sulfamethazine,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
Ketazolam,CC1=CC(=O)N2CC(=O)N(C)c3ccc(Cl)cc3C2(c2ccccc2)O1
Prazepam,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1
Quazepam,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
Everolimus,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
Solifenacin,O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1
Iron,[Fe]
Cinolazepam,N#CCCN1C(=O)C(O)N=C(c2ccccc2F)c2cc(Cl)ccc21
Nitrazepam,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1
Cilastatin,CC1(C)C[C@@H]1C(=O)N/C(=C\CCCCSC[C@H](N)C(=O)O)C(=O)O
Imipenem,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCC/N=C/N)C[C@H]12
Probucol,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
Tiaprofenic acid,CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1
Lopinavir,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O
Bacampicillin,CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C
Meticillin,COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O
Pivampicillin,CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C
Pivmecillinam,CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](N=CN3CCCCCC3)[C@H]2SC1(C)C
Tazobactam,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
Ticarcillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)O
Periciazine,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2
Deferasirox,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1
Valganciclovir,CC(C)[C@H](N)C(=O)OCC(CO)OCn1cnc2c(=O)nc(N)[nH]c21
Hydroxychloroquine,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12
Amyl Nitrite,CCCCCON=O
Erythrityl tetranitrate,O=[N+]([O-])OC[C@H](O[N+](=O)[O-])[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-]
Acepromazine,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2
Aceprometazine,CC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2
Alverine,CCN(CCCc1ccccc1)CCCc1ccccc1
Molindone,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2
Phenindamine,CN1CCC2=C(C1)C(c1ccccc1)c1ccccc12
Pheniramine,CN(C)CCC(c1ccccc1)c1ccccn1
Pipotiazine,CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2
Thioproperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1
Thiothixene,CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1
Zuclopenthixol,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1
Isopropamide,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C
Pargyline,C#CCN(C)Cc1ccccc1
Lincomycin,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)N(C)C1
Etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1
5-fluorouridine,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1F
SC-74020,CCCCCc1ccc(C(=O)Nc2ccc(S(=O)(=O)N(CCN3CCOCC3)[C@@H](C(=O)NO)C(C)C)cc2)cc1
Methyl nonanoate,CCCCCCCCC(=O)OC
5-O-phosphono-alpha-D-ribofuranosyl diphosphate,O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O
Deoxy-2-fluoro-beta-D-cellotrioside,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](F)[C@@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
2-Oxy-4-Hydroxy-5-(2-Hydrazinopyridine)Phenylalanine,N[C@@H](C[C@@H]1C=C(NNc2ccccn2)C(O)=CC1=O)C(=O)O
"2,2-Dimethylthiazolidine-4-Carboxylic Acid;(Dmt)Thiazolidine",CC1(C)N[C@H](C(=O)O)CS1
"3,7,11,15-tetramethyl-hexadecan-1-ol",CC(C)CCC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCO
Sorbitol,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO
N-Methyl-Pyridoxal-5'-Phosphate,Cc1c(O)c(C=O)c(COP(=O)(O)O)c[n+]1C
"6-(4-{[2-(3-iodobenzyl)-3-oxocyclohex-1-en-1-yl]amino}phenyl)-5-methyl-4,5-dihydropyridazin-3(2H)-one",C[C@@H]1CC(=O)NN=C1c1ccc(NC2=C(Cc3cccc(I)c3)C(=O)CCC2)cc1
"{(4Z)-2-[(1R,2R)-1-Amino-2-hydroxypropyl]-4-[(4-amino-1H-indol-3-yl)methylene]-5-oxo-4,5-dihydro-1H-imidazol-1-yl}acetic acid",C[C@@H](O)[C@H](N)C1=N/C(=C\c2c[nH]c3cccc(N)c23)C(=O)N1CC(=O)O
methyl beta-D-glucopyranoside,CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
Thymidine monophosphate,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O
"3,6-dihydroxy-xanthene-9-propionic acid",O=C(O)CCC1c2ccc(O)cc2Oc2cc(O)ccc21
Genistein,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
N-Acetylmethionine,CSCC[C@H](NC(C)=O)C(=O)O
Daxalipram,CCCOc1cc([C@]2(C)CNC(=O)O2)ccc1OC
